label,text
Pos,The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace
Pos,Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple
Pos,Hey @apple if you send me a free iPhone (any version will do) I will publicly and ceremoniously burn my #BlackBerry.
Pos,iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes
Pos,Amazing new @Apple iOs 5 feature.  http://t.co/jatFVfpM
Pos,We're one of a few Featured Education Apps on the @Apple **Website** today sweet! http://t.co/0yWvbe1Z
Pos,We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16
Pos,@azee1v1 @apple @umber AppStore is well done so is iTunes on the mobile devices.  I was talking about desktop app.
Pos,Save me from #HP's unwanted OS! Help me buy an #iPhone! I have seen the light! #lol http://t.co/8gUP9Acz #backchannel @apple
Pos,#sweet... #apple replaced my glass #probono. thank you @apple
Pos,Not Bad! @Apple Sells Over 4 Million #IPhones in Debut Weekend - Bloomberg http://t.co/AVSl3ygU - #smartphone #sm RT @VinodRad
Pos,Time to go get my iPhone 4s.  Looking forward to sticking it to the man by no longer paying for most texts.  Thanks @apple.
Pos,hey @apple I hate my computer i need a #mack wanna send me a free one.
Pos,Said to have laid out the next 4 years @apple.Jobs last iPhone is 2012 not the iPhone4S. iPhone(4G/5) 2012 is magical! http://t.co/DxxklUBp
Pos,Kind of excited. On my way to my last class right now and then going to the @Apple store so buy #MacOSC Snow Leopard and Lion :-)
Pos,i used to be with @blackberry over 4-5yrs .. after all the disruptions and lost gigs thx to their service im moving to @apple #iphone
Pos,I just sent my grandma a post card using my #CardsApp thanks @Apple
Pos,Laundering Ari's iPhone not my finest moment. But after drying in bag of (organic :-) rice for 4 days it booted up!!!!!!!!!!! @apple
Pos,Thank you @Apple iOS 5 for email pop up on the lock screen and opening it when unlocking.
Pos,RT @MN2NOVA: Love ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! #ios5 @apple
Pos,Updated my iOS and started using cloud services. Pretty bad ass @apple my #iPhone 3GS still the champ.
Pos,Loving the new iPod update @apple
Pos,Thx @instagram Thx @apple #hypo #D-76 #tri-x http://t.co/D7EeJHBT
Pos,@rygurl you need an @apple iphone4S with Siri!
Pos,I  @Apple http://t.co/a8on3IAa
Pos,@apple just got the new iOS5 upgrade with iMessage...good luck surviving now @BlackBerry
Pos,@apple by far the best iPod and first time iPhone ever.... Good job guys
Pos,I &lt;3 @apple http://t.co/ondXWpEr
Pos,#iPhone 4S in Space http://t.co/jINNHVwz this is amazing #creative @apple your products inspire people to do unbelievable things
Pos,New iOS 5 update is THE BEST. iloveyou @apple
Pos,Create new folders from within your photo album in #iOS5 finally!! Thanks @Apple that's been a thorn in my side for a while. #newfeature
Pos,#iOS5 update submitted to @apple! Thanks for all the support!
Pos,Awesome service from the @apple store in pc. Thanks chris!
Pos,I am crazy about #iOS5 . The photo cropping is the best! @apple
Pos,@apple has changed life.
Pos,Finally got the @apple IPhone thanks to @sprint getting with the times
Neg,@mashable @apple iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..
Neg,good article about why @apple fucked it all up with lion and their future. http://t.co/zNDP9Vr6 #fb
Neg,The one #iphone feature still missing since @apple first showed it.. Contacts pictures on the contacts list! Simple yet 5 major updates miss
Neg,@Lisa_Marie1987 shhhh. the evil sith lords @apple may hear you ha!
Neg,Oh @apple. Steve obviously had nothing to do with iPhoto as it's the perfect opposite of 'insanely great'. Get it fixed please.
Neg,OMG @apple WHY THE FUCK DID YOU DELETE ALL MY MUSIC YOU DICKS
Neg,Boy could @apple make it any harder to put my purchased music from the cloud on to my new macbook pro? You must authorize this computer
Neg,@apple thank you for ruining my 3GS with #iOS5. You've just turned my phone into an utterly useless pile of shit.
Neg,@Mayati I think @Apple didn't do such a thorough job with the step x steps for upgrade and move to iCloud. Now it's cost me mightily.
Neg,Hey @apple now I have iOS5 my iPhone doesn't include songs that are on compilation albums under the artist's name. #whaddupwitdat
Neg,Correction: @ Best Buy kudos to Chris @ Alamo Ranch S.A. TX-fixed issues couldn't resolve after 1/2 day w/ @ATT & @Apple. Hero of my day!
Neg,Would it kill @apple to put a braille type bump on their earbuds so we know which bud is R and L in the dark.
Neg,Oh just fuck you @apple. Already?? ---&gt;  iPhone 5 on schedule for summer launch? http://t.co/Ofh9PTaG via @BGR
Neg,@Apple on the #iPad with #iOS5 why has the Messages Icon been included when it can't be used?
Neg,Interesting... @apple now requires you to have a reservation ?         #apple #iphone #4S    :  http://t.co/zZK4fTii
Neg,My @Apple @macbook keyboard will not type :(
Neg,@apple your new Save a Version function in Pages is absolutely the most awful interrupting counter-intuitive piece of crap in the world
Neg,One would think the voice recognition on the @apple tech support line would work a little better.
Neg,Hey @Apple: stop sending your automatically-depreciate-all-iPhones-older-than-the-4s signal. My #iPhone4 is dying rapidly processor-wise.
Neg,oh and prolly ganna be late to work bc @apple has screwed me and my phone has my only alarm on it
Neg,@apple why is it every time there is iOS software update my iPad goes dead and I need to totally restore? #fail
Neg,RT @RedDeerSteph: @Joelplane @apple I hear you! I've had trouble with my 3 & now 4. I've even turned down brightness. #andshuttingdownru ...
Neg,Hey @apple the SMS full message is complete shit. Yes I'm annoyed.
Neg,Have never had such poor customer service at @Apple before! What happened? (@ Apple Store w/ 2 others) http://t.co/GKlXMUi6
Neg,Had ma Ipas not 24 hours an I jailbroke it...now its SHAGGED itunes won't letme restore it @apple SYM!!!!
Neg,could @apple lion please integrate vertical spaces in mission control. this horizontal business is making me nauseous
Neg,Can someone plz explain to me whhyy @apple is only distributing 2-3 phones per day to the sprint stores. I'm really ... http://t.co/uf9taK8f
Neg,@CBM: Lies @apple. the battery on this new iPhone4S is definitely not any better. &lt;&lt; check Settings: 8 times more App usage in iOS 5
Neg,should be studying/ doing work but no I'm hold with @apple HURRY THE FUCK UP! #nopatience
Neg,@philipgrey: dear @apple why you gotta go change the way &lt;input type=number&gt; is handled out of the blue?
Neg,Been on hold with @apple customer service for 25 minutes. Wow lt's like they're #timewarnercable.
Neg,+1  RT @Doug_Newton: @apple PLEASE FIX #Siri!!!! She can't connect to your network!!!!!!!
Neg,@trisha_ps @iCloud is Cloudy. @apple tech not very techy.
Neg,@electricsoup It has to connect to @Apple to process commands which it is failing to do right now
Neg,See @Apple that what's happen when you release iPhone 4S with same crappy design as the old phone!
Neg,This. RT @bonkoif Looks like @Apple did not appropriately project the resources needed for Siri. Not very reliable
Neg,@Apple - why do I have to have apps I am updating in their original 'folder' location? That was painful.
Neg,Just searching with my voice on my 2 year old nexus one @apple.
Neg,I am very upset about and inconvenienced by this iphone update failed backup. @iphone @apple
Neg,Apparently @Apple genius training doesn't extend to clocks & service. They're half an hour late for my appointment and couldn't let me know?
Neg,screw you @apple iOS 5. I can't download this crap and I'm tired of trying. Get this problem figured out about my connection timing out
Neg,2nd @apple genius apptment running late 2nd day in row for 2nd dodgy iPod . You make mega $$$ hire some staff.
Neg,@apple thanks for ios5 - loving having my music breaking up like I'm talking on a mobile (cell) phone. Bring back functional 4 #iosdonwgrade
Neg,@Apple #iOS5 on iPhone2 causes Camera apperature dilation problems & freeze.
Neg,Clarence Thomas must have designed the new OSX lion tossing decades of workflow standards @apple bring back save as! #autoSaveSucks
Neg,@nansen Man that sux! @apple io5 upgrade a total #fail for you!
Neg,Dear @Apple Contacts you are terrible. I just cleaned duplicates for 3 hours and they magically reappeared. Fix it.
Neg,#ios5 getting sloppy @apple. U need to check your QA team. Too many issues with apps data and syncing
Neg,So glad that I paid $69 for this @apple care protection plan.  Been on hold for over 20 minutes now.  Great customer service. #NOT
Neg,All I can say about @Apple right now is #GoodRiddance  See? Cancer isn't ALL BAD!
Neg,Ok @iTunesMusic idk wth is up but after syncing my phone my album art is out of order! WTF @Apple!
Neg,@apple I'm still waiting for you to deliver my phone to @sprint
Neg,Damn you @apple for breaking wififofum! It continued to work in ios 4. Was one of my most used apps. Damn Apple's overbearing policies!
Neg,What happened? RT @xCuntNuggetx: Never purchasing another item from @apple.
Neg,RT @leiboaz: Wow worst @apple customer service experience ever. Arrogant and inept. Bad combo Biltmore Apple store.
Neg,Warning: if iphone apps spontaneously loose data it might not be the app's fault - http://t.co/1SEsvWwm #ios5downgrade @apple @marcoarment
Neg,Now @apple won't let me use credit on @iTunes unless I have a credit card. Should have told me when I redeemed the cards. Sound fair to you?
Neg,@amandbrar @apple Siri has worked for me less than 10% of the time. If service doesn't improve by Monday I'm returning my iPhone 4S.
Neg,@azrael: RT @DavideGori: And again #MobileMe is down. Issues when syncing accessing mail... is this a good premise for #iCloud? @Apple ...
Neg,@apple give me my apps back!!!
Neg,Well @apple seems 2b screwing #iphone 4s resellars. They still dont have 4s. Yet were promised. Similar 2 Ma Bell's monopolistic prctices?
Neg,@ford should have teamed up with @Apple instead of @microsoft to make this SYNC system in my new focus. Car is sweet SYNC is #EpicFail
Neutral,@Late_Show I would have watched but the folks at @apple have a jihad against adobe flash. Plse consider a YouTube link in future on UR site
Neutral,.@Apple has a record quarter and because a bunch of professional guessers (aka analysts) wanted more its a disappointment #wtf
Neutral,Win an @Apple iPod Touch from @Mommy_gaga get the @Pampers Hello World Baby Memories App! http://t.co/XVcch6Os #PampersHelloApps
Neutral,Hey @Apple pretty much all your products are amazing. You blow minds every time you launch a new gizmo. That said your hold music is crap.
Neutral,@apple #readyfor5.0.1 http://t.co/M2FqakYr
Neutral,#Win an @Apple iPod Touch from @Mommy_gaga get the @Pampers Hello World Baby Memories App! http://t.co/I6woujUh #PampersHelloApps
Neutral,#Win an @Apple iPod Touch from @Mommy_gaga get the @Pampers Hello World Baby Memories App! http://t.co/YUydxo1t #PampersHelloApps
Neutral,RT @edatpost: Bah! Genius BAR // RT @edatpost: .@Apple fan Eric Holder spotted at the Genius Store http://t.co/FTLttLPn
Neutral,#motoactiv? Methinks @apple and maybe @Nike are already prepping lawsuits
Neutral,Bah! Genius BAR // RT @edatpost: .@Apple fan Eric Holder spotted at the Genius Store http://t.co/FTLttLPn
Neutral,@apple #siri http://t.co/k7b686hX
Neutral,RT @edatpost: .@Apple fan Eric Holder spotted at the Genius Store http://t.co/OshPyV2G
Neutral,These cos are worth billions: @Apple @Facebook @Google & @Amazon and they are battling for consumers  http://t.co/4WxPCH9h via @fastcompany
Neutral,@BeeeThree I am aye I wasn't @apple
Neutral,Steve Jobs' unconventional #leadership secret - ACC SmartBrief: http://t.co/CY6VxRnF &gt; @Apple #sm #HR #NEHRA
Neutral,Attending #mobilemem  listening to James Kelley from @apple .
Neutral,yes i am live tweeting my @apple tech support call. Isn't this fun?
Neutral,@azee1v1 @apple @umber Better file info/easier to get to duplication of files when importing. Categorizing files.
Neutral,@KaeKaed @Apple Here is an easy way to put Newsstand in a folder http://t.co/yVXmWIbI
Neutral,Been MIA from Twitter.. But now Tweeting from my new @apple iPhone! :) #finallycool #notreally well It IS ..I'm not :) #stilllearning
Neutral,@AsgariAJ #iPhone need to tell @Apple that
Neutral,eating @apple xDD
Neutral,The four American companies that have come to define 21st-century on the verge of war. @Amazon @Apple @Facebook and @Ghttp://t.co/PxUlr5dw
Neutral,iSteps @apple store bologna http://t.co/WjjBq7Ae
Neutral,How I manage my businesses/life: @pivotaltracker @37signals @twitter @googleapps @apple @dropbox @wordpress @dreamhost THX
Neutral,POLL: http://t.co/9q2Er1w9 Q:R U pissed @Apple banned this video? #Apple #iPhone4S #Siri #F8ball
Neutral,got the new @apple update
Neutral,A brick n mortar @Google store? Coming soon to London US next? Copying @Apple business model? http://t.co/l4VTHsv5
Neutral,If the iPhone 4 case fits the 4S why is @nlevenbrown @apple buying a new one?
Neutral,@ATT just so I have this right.I pre-ordered an iphone last wk and it will be here in a month. I could buy in an @apple store today.really?
Neutral,@apple please bring back the old Siri app for us old school iPhone 3 users!
Neutral,POLL: http://t.co/Wu6EsvT5 Q:Should @Microsoft consider making its own hardware for #Windows like @Apple does? #Microsoft #Windows #Appl ...
Neutral,@APPLE freaks is Siri available for Iphone 4 yet?
Neutral,RT @shanmoorthy: Next year is going to be really interesting in tech as @Google @Amazon @Facebook and @Apple vie for new growth areas  ...
Neutral,iPhone 4 S now RESERVATION only if you want to buy it in an @apple store tomorrow you have to reserve online after 9pm tonight
Neutral,@SteveJobs : @Twitter overwhelmed by reaction to @Apple founder's death - Telegraph http://t.co/tqF6pjf5
Neutral,#fail i guess @apple didnt notify these clowns that the iPhone5 isnst out yet.... http://t.co/2yCDNt1B
Neutral,iPhone 4S First Weekend Sales Top Four Million: http://t.co/Dm4acTYv via @Apple themselves. Big sales for the new phone.
Neutral,Easiest way to use Evernote with iPhone 4S Siri. Just tell Siri to Email Evernote and say your note. @evernote @apple #evernote #siri
Neutral,It's a good thing @apple has not came out with an iCar because I would be in line for one and im sure it would be expensive
Neutral,@apple Iphone's & Ipad's beautiful technology but alltogether mainly a marketing platform. It's obscure is'nt it? Apple lost it's touch.
Neutral,@hanrahan52 @apple Don't say things you can't take back Joel.
Neutral,@coatgal @apple considering his circumstances - suffering faults on/off for long periods -They replaced his phone with a new as a  goodwill
Neutral,Can this ho Siri update your tweets? cc: @apple @iPhone_News
Neutral,@Apple's Success is Also #Google's Gain as #Mobile #Advertising Balloons http://t.co/0400ynQY
Neutral,Another shrewd business model move by @Amazon http://t.co/OQJRRYFq Rooting for the dark horse in the @facebook @google @apple war? #tech
Neutral,RT @Apple sells 4 million iPhone 4S in 3 days http://t.co/vElmtzNS via @reuters
Neutral,Flowers & Apples shower the Santa Monica @Apple store in honor of #SteveJobs http://t.co/xGf60gMs
Neutral,is it me or @blackberry is begging ppl not to go @apple #iphone http://t.co/X3gdBUyK
Neutral,Do people loved Steve? Check out this photo from @Apple store http://t.co/jIqBGghC
Neutral,RT @petapixel: iPhone 4S vs Canon 5D Mark II - A side-by-side comparison of 1080p HD video: http://t.co/qMyMIV7z &lt;&lt;@apple Wow!!
Neutral,I am now the proud owner of @apple tv thanks to big bro @steveeadie and family!!
Neutral,@apple is profiting a min of $400 per 4s.  They sold 4 million this weekend. That's another 1.6 Billion to Apples coffers! #worldRecession?
Neutral,Too bad I'm not an @Apple junkie. #icloud #apple #ios5
Neutral,@apple predicts #Siri in 1987 in video the video is staged for September 2011 http://t.co/tFNRP3MD
Neutral,Smh at @ItsTheSituation for trying to cut in line for a 4S. Cmon mayne if @Apple's cofounder stood in line then you are too.
Neutral,RT @TechHamlet: Thank You Steve : A Song Created for Steve Jobs http://t.co/2vtX8ZJf via @TechHamlet @AzRmusic @Apple #stevejobs #apple
Neutral,Twitter buzz for Best Buy: http://t.co/9SesENTu - RT @acappellamedia OH: Sales guy @BestBuy: &quot;I'm not selling or using any @apple p...
Neutral,Loving these names. @Google Chases @Apple With Ice Cream Sandwich - http://t.co/u3LchmGD #mobile
Neutral,YESSS @apple fix it also slow internet RT @SprintFeed: iPhone 4S owners are you having trouble with Siri connecting to internet?
Neutral,Next year is going to be really interesting in tech as @Google @Amazon @Facebook and @Apple vie for new growth areas http://t.co/kkaKFsCH
Neutral,@apple please provide support for a Bangla keyboard in iOS. It would make the life of many Bengali iOS users easier! #iphone
Neutral,I love @apple & I love my phone.. but ever since this damn update my texts keep saying they're full when there are none & that's a PROBLEM!!
Neutral,Now who can guarantee that @apple hd nothing 2 do with @Blackberry RIM server failure?!Days after over 4million iPhone 4S sold in 3days!?!
Neutral,RT @Porter_Anderson: 3 principal global players will be active in every market...@Amazon @Apple & @Kobo. @MikeShatzkin http://t.co/1 ...
Neutral,@apple underplayed the power of the iPad via @mitchjoel &lt;yup #SOCAPac11
Neutral,Wow... @Apple sold 4 million iPhone 4S in a single weekend... http://t.co/WDLHZsza
Neutral,OH: Sales guy @BestBuy: I'm not selling or using any @apple products during my mourning period over Job's passing. hmmm..
Neutral,RT @TravisDommert:Is leaving Steve's photo on the @apple home page what he would really want? In his honor...let's get back to #innov...
Neutral,@apple @iphone sold more because its in more retail duhhhh. Also woz is correct people dont want tech answer just simple child like ones ok!
Neutral,@Apple very disappointed Hogwarts not choice on world clock on iPhone
Neutral,IHS: iPhone 4S shows key design and component changes. http://t.co/6tfiGiDV  @apple #apple #iphome4S #ios5
Neutral,IHS: iPhone 4S shows key design and component changes. http://t.co/gZmdzvLe  @apple #apple #iphome4S #ios5
Neutral,IHS: iPhone 4S shows key design and component changes. http://t.co/UxfA8Ukg  @apple #apple #iphome4S #ios5
Neutral,RT @jldavid: iPhone 4S First Weekend Sales Top Four Million: http://t.co/O7zqnY7K (via @apple)
Neutral,RT @TalkYo_ISH: Dear @Apple Can We Get Some Afro-American Emoticons? -Management
Neutral,@bxlewi1 hey...do you know why @Apple hasn't added 4G support yet? Seems like an odd omission for such an advanced device.
Neutral,iPhone 4S: Setup SIRI for your Tweets. http://t.co/eyHmHSTM @apple #apple #iphone #siri
Neutral,Cool @apple / Steve Jobs infographic http://t.co/Prb5yx4X @MickH87 - timeline history
Neutral,Does the iPhone4S no longer have that stupid 'network lost' pop up - possibly the most annoying thing ever that you cannot turn off @apple ?
Neutral,If you sign up for iClould will you also get iRain? @apple #icloud.
Neutral,What's up with @apple stock going up after #SteveJobs death? #Apple #AppleStock
Neutral,This is better than *every* magazine having their own #app! @EatMagazine @Apple supports magazines. #Ipad upgrade adds Newsstand #app
Neutral,What? Are we not buying enough iPads already @apple ? Give us a break while we learn to cope with a post Steve Apple http://t.co/w7GTxQZ0
Neutral,Comparing the @apple & @BlackBerry apps/interfaces can anyone imagine how @BlackBerry could have done worse? #sadreally
Neutral,If I was @Apple I'd publicly denounce and file suit against @Nuance. Then buy 'em on the cheap. #Siri
Neutral,Lmao RT @RobynheaRtz: He asked Siri where's the hoes at & she told him where the nearest escorts were I love @apple
Neutral,@Apple why do you have such a beef with @Windows?  #cantwealljustgetalong
Neutral,What's up #twitpeeps? How's every @apple user liking iOS 5?
Neutral,I want Siri on my iPhone4 ! @apple
Neutral,Right. Migrate from older mbp to imac using ethernet not firewire. Thanks Drew for saving me some $. @apple http://t.co/IAHHaGXy
Neutral,@Apple hits @Samsung in court again - http://t.co/l6brF3yB
Neutral,Can someone explain to me how the hell iMessage differs from a text message? @Apple #fb
Neutral,Thanks @apple my girlfriend likes #siri more than me now.
Neutral,MacBook Pros constrained new models appear in Apples inventory system @apple @macbookpro... http://t.co/blGr9Ue5
Neutral,@Apple has lunched its new OS: iSO 5
Neutral,New #iOS5 notification center is a big improvement but @apple missed an easy trick by not making it fully available on lock screen.
Neutral,The battle of voice controlled AI platforms. If they were mobile OS ind - same q's as in IE antitrust case in EU? Vlingo v @google v @apple
Neutral,Or hide it.. RT @LucasBlack: Dear @Apple.Re: Newsstand. Don't advertise magazines for free:they're NOT free.Alsoallow us to remove the app.
Neutral,Dear @apple as a hoh/deaf user can you please add options for stronger and longer vibrate for #iphone4s ? Thank you! #hoh #deaf #ally
Neutral,So what is behind that giant silver door at the @apple store? #MacLife
Neutral,Waiting on line @Apple store at west 14th Street.
Neutral,RT @ajrogers Purdie Rogers tribute to #SteveJobs and @apple. We spray painted the Macintosh Plus w.. http://t.co/oMXjhZh0
Neutral,@apple and I'm looking at the outside & all you see is sticky notes about steve jobs
Neutral,Lol @Apple support playing Mary J Blige during the wait time.
Neutral,bored - need a new intriguing #app for my #iPad.  Any suggestions?  @apple #yyc @Gadget_Guy
Neutral,...now with Siri were talking to our iPhones... how will we ever know if people are really truly crazy? :P #iphone4s #Siri #apple @apple
